Treatment pH,Treatment temp C,Intermolt,Degree Days ,Experimental Days
7.8,ambient +4,1st,403.92799999999994,27
7.8,ambient +4,1st,403.8243124999999,27
7.8,ambient +4,1st,403.92799999999994,27
7.8,ambient +4,1st,416.83679166666667,28
7.8,ambient +4,1st,417.6690625,28
7.8,ambient +4,1st,431.56597916666664,29
7.8,ambient +4,1st,432.9154791666666,29
7.8,ambient +4,1st,448.04004166666664,30
7.8,ambient +4,1st,445.81404166666664,30
7.8,ambient +4,1st,461.16204166666665,31
7.8,ambient +4,1st,474.72985416666677,32
7.8,ambient +4,1st,492.61658333333327,33
7.8,ambient +4,1st,504.6157083333335,34
7.8,ambient +4,1st,532.2892708333334,36
7.8,ambient +4,1st,1139.299604166667,82
7.8,ambient +4,2nd,540.6567916666667,37
7.8,ambient +4,2nd,631.0105208333334,44
7.8,ambient +4,2nd,703.1838958333334,51
7.8,ambient +4,2nd,808.9202291666667,62
7.8,ambient +4,2nd,934.7218750000002,72
ambient,ambient,1st,356.58445833333343,32
ambient,ambient,1st,356.3388333333334,32
ambient,ambient,1st,378.52637500000003,34
ambient,ambient,1st,395.6384791666667,36
ambient,ambient,1st,401.3682708333334,36
ambient,ambient,1st,405.91475,37
ambient,ambient,1st,407.4550416666667,37
ambient,ambient,1st,423.0198333333334,38
ambient,ambient,1st,416.1932708333334,38
ambient,ambient,1st,428.7947916666667,39
ambient,ambient,1st,438.12906250000003,40
ambient,ambient,1st,455.45312500000006,41
ambient,ambient,1st,459.94168750000006,42
ambient,ambient,1st,453.05331249999995,42
ambient,ambient,1st,464.5792499999999,43
ambient,ambient,1st,461.89879166666657,43
ambient,ambient,1st,481.4754791666666,45
ambient,ambient,1st,498.87518749999987,47
ambient,ambient,1st,500.0169791666666,47
ambient,ambient,1st,514.4731458333333,48
ambient,ambient,1st,534.2045416666667,50
ambient,ambient,1st,544.908625,51
ambient,ambient,1st,582.2866458333331,56
ambient,ambient,2nd,524.0821458333332,55
ambient,ambient,2nd,559.3323541666664,59
ambient,ambient,2nd,626.9365833333331,67
ambient,ambient,2nd,549.6334999999999,67
ambient,ambient,2nd,613.1502708333333,70
ambient,ambient,2nd,623.8145,71
ambient,ambient,2nd,589.8287708333335,78
ambient,ambient,2nd,654.3361458333333,78
ambient,ambient,2nd,680.5018333333331,79
ambient,ambient,2nd,658.6213750000002,85
ambient,ambient,2nd,727.9284374999999,86
ambient,ambient,2nd,787.4231250000001,99
ambient,ambient,2nd,773.7636458333333,104
ambient,ambient,2nd,824.0717708333333,111
ambient,ambient +2,1st,322.8267916666666,25
ambient,ambient +2,1st,361.6115,28
ambient,ambient +2,1st,360.27816666666666,28
ambient,ambient +2,1st,373.50029166666667,29
ambient,ambient +2,1st,374.35412499999995,29
ambient,ambient +2,1st,386.1152916666667,30
ambient,ambient +2,1st,412.0319791666666,32
ambient,ambient +2,1st,412.00741666666653,32
ambient,ambient +2,1st,425.24864583333317,33
ambient,ambient +2,1st,426.3067083333333,33
ambient,ambient +2,1st,425.76514583333324,33
ambient,ambient +2,1st,424.3712083333333,33
ambient,ambient +2,1st,425.8796666666667,33
ambient,ambient +2,1st,420.0377499999998,33
ambient,ambient +2,1st,437.63170833333317,34
ambient,ambient +2,1st,449.08558333333326,35
ambient,ambient +2,1st,474.9586041666666,37
ambient,ambient +2,1st,486.4156458333333,38
ambient,ambient +2,1st,482.6632916666665,38
ambient,ambient +2,1st,502.38108333333327,39
ambient,ambient +2,1st,509.8613124999999,40
ambient,ambient +2,2nd,519.3869999999998,43
ambient,ambient +2,2nd,568.6646041666665,48
ambient,ambient +2,2nd,552.6179375000002,49
ambient,ambient +2,2nd,586.4582499999998,49
ambient,ambient +2,2nd,554.3071041666669,52
ambient,ambient +2,2nd,615.8896666666667,53
ambient,ambient +2,2nd,691.2152291666666,66
ambient,ambient +2,2nd,699.7942916666666,67
ambient,ambient +2,2nd,740.6477916666666,70
ambient,ambient +2,2nd,764.5890208333333,71
ambient,ambient +2,2nd,719.721020833333,72
ambient,ambient +4,1st,359.41549999999995,24
ambient,ambient +4,1st,380.59749999999997,25
ambient,ambient +4,1st,390.2549791666666,26
ambient,ambient +4,1st,395.0151666666666,26
ambient,ambient +4,1st,390.1419791666666,26
ambient,ambient +4,1st,406.98620833333325,27
ambient,ambient +4,1st,410.6206249999999,27
ambient,ambient +4,1st,403.6942916666666,27
ambient,ambient +4,1st,410.6450624999999,27
ambient,ambient +4,1st,425.8661249999999,28
ambient,ambient +4,1st,423.8956458333333,28
ambient,ambient +4,1st,425.37718749999993,28
ambient,ambient +4,1st,423.6599374999997,28
ambient,ambient +4,1st,436.0178541666666,29
ambient,ambient +4,1st,440.6483749999999,29
ambient,ambient +4,1st,437.67564583333325,29
ambient,ambient +4,1st,456.1327499999999,30
ambient,ambient +4,1st,454.42006249999974,30
ambient,ambient +4,1st,470.7553541666665,31
ambient,ambient +4,1st,483.6533541666664,32
ambient,ambient +4,1st,481.60797916666627,32
ambient,ambient +4,1st,484.64566666666644,32
ambient,ambient +4,1st,481.7266666666663,32
ambient,ambient +4,1st,496.66495833333295,33
ambient,ambient +4,1st,556.161083333333,37
ambient,ambient +4,1st,586.3866874999997,39
ambient,ambient +4,2nd,472.35095833333276,32
ambient,ambient +4,2nd,480.8635624999994,33
ambient,ambient +4,2nd,518.4561041666661,36
ambient,ambient +4,2nd,521.7356458333328,36
ambient,ambient +4,2nd,549.057104166666,38
ambient,ambient +4,2nd,533.6513124999994,38
ambient,ambient +4,2nd,540.4002916666661,38
ambient,ambient +4,2nd,542.9130416666661,38
ambient,ambient +4,2nd,551.9181041666661,39
ambient,ambient +4,2nd,563.7582916666661,40
ambient,ambient +4,2nd,599.9219583333329,42
ambient,ambient +4,2nd,579.6163749999997,43
ambient,ambient +4,2nd,625.8235416666664,46
ambient,ambient +4,2nd,619.4905625,47
ambient,ambient +4,2nd,709.0072291666663,52
ambient,ambient +4,2nd,750.9556666666663,55
ambient,ambient +4,2nd,749.7804999999997,58
ambient,ambient +4,2nd,787.8280208333331,60
ambient,ambient +4,2nd,824.1459791666664,64
ambient,ambient +4,2nd,882.3774999999996,69
