Tub,Insert #,pH treatment,Temp treatment,Days Intermolt 1,Days Intermolt 2,Degree Days Intermolt 1,Degree Days Intermolt 2
4,17,7.8,ambient,59,,630.8821249999997,
4,18,7.8,ambient,50,109,550.4650416666665,792.8446875000002
4,19,7.8,ambient,33,87,372.4828333333334,781.2739583333337
4,20,7.8,ambient,43,,480.1265416666665,
4,21,7.8,ambient,52,,558.9483541666666,
4,22,7.8,ambient,54,,573.8644791666665,
4,23,7.8,ambient,47,,518.5316458333331,
4,25,7.8,ambient,40,,447.38818749999984,
4,26,7.8,ambient,45,,497.08224999999976,
4,27,7.8,ambient,34,66,383.7037500000001,626.7614375
4,28,7.8,ambient,45,,502.28575000000006,
4,29,7.8,ambient,36,,405.46877083333345,
4,30,7.8,ambient,78,,778.7981666666667,
5,1,7.8,ambient +2,23,37,305.74870833333335,469.0764791666668
5,2,7.8,ambient +2,30,,399.2203333333333,
5,3,7.8,ambient +2,43,79,556.7701458333333,783.952958333333
5,4,7.8,ambient +2,31,,412.99666666666667,
5,5,7.8,ambient +2,38,,499.69083333333344,
5,6,7.8,ambient +2,31,46,414.8508333333333,553.1600833333337
5,7,7.8,ambient +2,32,,427.58549999999997,
5,8,7.8,ambient +2,39,,506.5821458333334,
5,9,7.8,ambient +2,32,88,426.8955208333333,977.2910416666666
5,10,7.8,ambient +2,37,,486.96685416666674,
5,11,7.8,ambient +2,47,69,611.7777083333334,710.8784374999997
5,12,7.8,ambient +2,42,,541.0912708333335,
5,13,7.8,ambient +2,39,,509.08391666666665,
5,14,7.8,ambient +2,44,,566.1244166666668,
5,15,7.8,ambient +2,29,42,388.72512499999993,511.0700416666669
5,17,7.8,ambient +2,38,,501.1523541666668,
5,19,7.8,ambient +2,37,,486.96685416666674,
5,20,7.8,ambient +2,37,,486.3292916666668,
5,21,7.8,ambient +2,34,88,453.800375,939.5454166666665
5,22,7.8,ambient +2,41,72,533.9308958333334,739.8180416666664
5,23,7.8,ambient +2,37,,488.6056041666668,
5,24,7.8,ambient +2,36,84,476.15283333333343,879.8905416666663
5,25,7.8,ambient +2,40,94,521.0105416666668,920.9642708333331
5,26,7.8,ambient +2,32,55,428.5139166666666,641.725625
5,27,7.8,ambient +2,36,50,472.90202083333344,553.7224166666666
5,28,7.8,ambient +2,40,,524.3594375,
5,29,7.8,ambient +2,40,82,526.4790416666668,846.5597708333331
5,30,7.8,ambient +2,30,38,401.1435833333333,472.9081458333335
6,1,7.8,ambient +4,27,,403.67768749999993,
6,2,7.8,ambient +4,28,,416.83679166666667,
6,3,7.8,ambient +4,33,51,492.61658333333327,703.1838958333334
6,4,7.8,ambient +4,25,,374.2408333333332,
6,5,7.8,ambient +4,29,,431.56597916666664,
6,8,7.8,ambient +4,30,,448.04004166666664,
6,10,7.8,ambient +4,27,,403.92799999999994,
6,12,7.8,ambient +4,26,,388.83118749999994,
6,13,7.8,ambient +4,36,,532.2892708333334,
6,14,7.8,ambient +4,31,,461.16204166666665,
6,15,7.8,ambient +4,32,62,474.72985416666677,808.9202291666667
6,16,7.8,ambient +4,82,,1139.299604166667,
6,17,7.8,ambient +4,30,72,445.81404166666664,934.7218750000002
6,18,7.8,ambient +4,34,,504.6157083333335,
6,19,7.8,ambient +4,29,,432.9154791666666,
6,20,7.8,ambient +4,26,,388.83118749999994,
6,23,7.8,ambient +4,27,,403.8243124999999,
6,25,7.8,ambient +4,27,44,403.92799999999994,631.0105208333334
6,27,7.8,ambient +4,19,37,283.499875,540.6567916666667
6,28,7.8,ambient +4,22,,327.65968749999996,
6,29,7.8,ambient +4,25,,374.0455208333333,
6,30,7.8,ambient +4,28,,417.6690625,
