Date,Treatment pH,Treatment temp C,Tub ,pH,Temp C,Salinity,Alkalinity,DIC
2012-08-28 00:00:00,Control,Control +4,2,7.986666666666667,15.333333333333334,31.28493,2128.19,1999
2012-08-28 00:00:00,Control,Control +2,3,8.013333333333334,13,31.28493,2128.19,1999
2012-08-28 00:00:00,pH 7.8,Control,4,7.78,11.133333333333333,31.28815,2146.52,2084.9
2012-08-28 00:00:00,pH 7.8,Control +2,5,7.756666666666667,13,31.28815,2146.52,2084.9
2012-08-28 00:00:00,pH 7.8,Control +4,6,7.739999999999999,15.199999999999998,31.28815,2146.52,2084.9
2012-09-04 00:00:00,Control,Control,1,8.033333333333333,10.9,31.19202,2150.34,1708.4
2012-09-04 00:00:00,Control,Control +4,2,7.989999999999999,14.633333333333333,31.19202,2150.34,1708.4
2012-09-04 00:00:00,Control,Control +2,3,8.01,12.699999999999998,31.19202,2150.34,1708.4
2012-09-04 00:00:00,pH 7.8,Control,4,7.78,10.966666666666667,31.21226,2143.38,2077.7
2012-09-04 00:00:00,pH 7.8,Control +2,5,7.760000000000001,13.133333333333333,31.21226,2143.38,2077.7
2012-09-04 00:00:00,pH 7.8,Control +4,6,7.739999999999999,14.699999999999998,31.21226,2143.38,2077.7
2012-09-11 00:00:00,Control,Control,1,8,10.800000000000002,31.12332,2148.66,2060.7
2012-09-11 00:00:00,Control,Control +4,2,7.943333333333334,14.433333333333332,31.12332,2148.66,2060.7
2012-09-11 00:00:00,Control,Control +2,3,7.97,12.466666666666667,31.12332,2148.66,2060.7
2012-09-11 00:00:00,pH 7.8,Control,4,7.78,11.066666666666668,31.11224,2144.93,1878.1
2012-09-11 00:00:00,pH 7.8,Control +2,5,7.753333333333333,13.299999999999999,31.11224,2144.93,1878.1
2012-09-11 00:00:00,pH 7.8,Control +4,6,7.743333333333333,14.5,31.11224,2144.93,1878.1
2012-09-18 00:00:00,Control,Control,1,7.983333333333334,10.766666666666666,30.85131,2130.21,2014.4
2012-09-18 00:00:00,Control,Control +4,2,7.93,14.066666666666668,30.85131,2130.21,2014.4
2012-09-18 00:00:00,Control,Control +2,3,7.95,12.300000000000002,30.85131,2130.21,2014.4
2012-09-18 00:00:00,pH 7.8,Control,4,7.783333333333334,10.9,30.8461,2129.85,1990.1
2012-09-18 00:00:00,pH 7.8,Control +2,5,7.763333333333333,12.700000000000001,30.8461,2129.85,1990.1
2012-09-18 00:00:00,pH 7.8,Control +4,6,7.75,14.5,30.8461,2129.85,1990.1
2012-09-25 00:00:00,Control,Control,1,7.93,10.433333333333332,30.56,2098.8319606382615,2008.4348880108
2012-09-25 00:00:00,Control,Control +4,2,7.89,14.166666666666666,30.56,2098.8319606382615,2008.4348880108
2012-09-25 00:00:00,Control,Control +2,3,7.91,12.1,30.56,2098.8319606382615,2008.4348880108
2012-09-25 00:00:00,pH 7.8,Control,4,7.79,10.6,30.58,2102.2711768049053,2046.6648590404304
2012-09-25 00:00:00,pH 7.8,Control +2,5,7.77,11.933333333333332,30.58,2102.2711768049053,2046.6648590404304
2012-09-25 00:00:00,pH 7.8,Control +4,6,7.75,14.300000000000002,30.58,2102.2711768049053,2046.6648590404304
2012-10-02 00:00:00,Control,Control,1,8.026666666666666,9.7,30.7,2091.16796918056,1980.2321209463655
2012-10-02 00:00:00,Control,Control +4,2,7.95,13.766666666666666,30.7,2091.16796918056,1980.2321209463655
2012-10-02 00:00:00,Control,Control +2,3,7.983333333333334,11.5,30.7,2091.16796918056,1980.2321209463655
2012-10-02 00:00:00,pH 7.8,Control,4,7.8,10.2,30.56,2088.1502725440896,2052.6731435806983
2012-10-02 00:00:00,pH 7.8,Control +2,5,7.78,12.066666666666668,30.56,2088.1502725440896,2052.6731435806983
2012-10-02 00:00:00,pH 7.8,Control +4,6,7.77,13.666666666666666,30.56,2088.1502725440896,2052.6731435806983
2012-10-09 00:00:00,Control,Control,1,7.95,9.5,30.9,2111.8607461163547,
2012-10-09 00:00:00,Control,Control +4,2,7.896666666666666,13.166666666666666,30.9,2111.8607461163547,
2012-10-09 00:00:00,Control,Control +2,3,7.919999999999999,11.199999999999998,30.9,2111.8607461163547,
2012-10-09 00:00:00,pH 7.8,Control,4,7.8,9.9,30.9,2109.6094486256547,2048.5035146773353
2012-10-09 00:00:00,pH 7.8,Control +2,5,7.786666666666666,11.166666666666666,30.9,2109.6094486256547,2048.5035146773353
2012-10-09 00:00:00,pH 7.8,Control +4,6,7.766666666666666,13.6,30.9,2109.6094486256547,2048.5035146773353
2012-10-16 00:00:00,Control,Control,1,8.02,9.1,30.71,2101.42650650853,1995.8503085798816
2012-10-16 00:00:00,Control,Control +4,2,7.956666666666667,13.5,30.71,2101.42650650853,1995.8503085798816
2012-10-16 00:00:00,Control,Control +2,3,7.989999999999999,11.199999999999998,30.71,2101.42650650853,1995.8503085798816
2012-10-16 00:00:00,pH 7.8,Control,4,7.81,9.4,30.76,2102.833038990974,2057.239274556213
2012-10-16 00:00:00,pH 7.8,Control +2,5,7.78,11.833333333333334,30.76,2102.833038990974,2057.239274556213
2012-10-16 00:00:00,pH 7.8,Control +4,6,7.760000000000001,13.300000000000002,30.76,2102.833038990974,2057.239274556213
2012-10-23 00:00:00,Control,Control,1,8.02,8.2,30.82,2117.893461626122,2009.0029322485207
2012-10-23 00:00:00,Control,Control +4,2,7.963333333333334,12.333333333333334,30.82,2117.893461626122,2009.0029322485207
2012-10-23 00:00:00,Control,Control +2,3,8,10.066666666666666,30.82,2117.893461626122,2009.0029322485207
2012-10-23 00:00:00,pH 7.8,Control,4,7.79,8.466666666666667,30.82,2103.15835942909,2069.6578450690336
2012-10-23 00:00:00,pH 7.8,Control +2,5,7.776666666666667,10.333333333333334,30.82,2103.15835942909,2069.6578450690336
2012-10-23 00:00:00,pH 7.8,Control +4,6,7.75,12.133333333333333,30.82,2103.15835942909,2069.6578450690336
2012-10-30 00:00:00,Control,Control,1,8.013333333333334,8.166666666666666,30.41,2071.7745053990484,1985.9053966469428
2012-10-30 00:00:00,Control,Control +4,2,7.94,12.4,30.41,2071.7745053990484,1985.9053966469428
2012-10-30 00:00:00,Control,Control +2,3,7.97,10,30.41,2071.7745053990484,1985.9053966469428
2012-10-30 00:00:00,pH 7.8,Control,4,7.79,8.3,30.41,2085.045665624557,2043.9358180473373
2012-10-30 00:00:00,pH 7.8,Control +2,5,7.766666666666666,10.733333333333334,30.41,2085.045665624557,2043.9358180473373
2012-10-30 00:00:00,pH 7.8,Control +4,6,7.743333333333333,12.1,30.41,2085.045665624557,2043.9358180473373
2012-11-07 00:00:00,Control,Control,1,8,7.5,30.28,2081.3862067871737,1997.7408511985439
2012-11-07 00:00:00,Control,Control +4,2,7.93,11.699999999999998,30.28,2081.3862067871737,1997.7408511985439
2012-11-07 00:00:00,Control,Control +2,3,7.96,9.6,30.28,2081.3862067871737,1997.7408511985439
2012-11-07 00:00:00,pH 7.8,Control,4,7.78,7.8,29.69,2062.998088498155,2054.098354685846
2012-11-07 00:00:00,pH 7.8,Control +2,5,7.760000000000001,9.7,29.69,2062.998088498155,2054.098354685846
2012-11-07 00:00:00,pH 7.8,Control +4,6,7.73,11.800000000000002,29.69,2062.998088498155,2054.098354685846
2012-11-13 00:00:00,Control,Control,1,7.989999999999999,7.966666666666666,29.9,2066.202656830681,2005.9014419129214
2012-11-13 00:00:00,Control,Control +4,2,7.926666666666667,11.566666666666668,29.9,2066.202656830681,2005.9014419129214
2012-11-13 00:00:00,Control,Control +2,3,7.946666666666666,9.6,29.9,2066.202656830681,2005.9014419129214
2012-11-13 00:00:00,pH 7.8,Control,4,7.786666666666666,8.2,29.9,2073.2126500580816,2065.0026792374433
2012-11-13 00:00:00,pH 7.8,Control +2,5,7.766666666666666,9.8,29.9,2073.2126500580816,2065.0026792374433
2012-11-13 00:00:00,pH 7.8,Control +4,6,7.739999999999999,11.5,29.9,2073.2126500580816,2065.0026792374433
2012-11-20 00:00:00,Control,Control,1,8.02,7.099999999999999,31.05,2108.9397720034467,2017.1789949644347
2012-11-20 00:00:00,Control,Control +4,2,7.95,11.366666666666667,31.05,2108.9397720034467,2017.1789949644347
2012-11-20 00:00:00,Control,Control +2,3,7.98,9.3,31.05,2108.9397720034467,2017.1789949644347
2012-11-20 00:00:00,pH 7.8,Control,4,7.793333333333333,7.400000000000001,31.05,2070.980897112215,2054.3707106182173
2012-11-20 00:00:00,pH 7.8,Control +2,5,7.77,9.700000000000001,31.05,2070.980897112215,2054.3707106182173
2012-11-20 00:00:00,pH 7.8,Control +4,6,7.739999999999999,11.5,31.05,2070.980897112215,2054.3707106182173
2012-11-27 00:00:00,Control,Control,1,7.98,7.599999999999999,30.33,,
2012-11-27 00:00:00,Control,Control +4,2,7.923333333333333,11.333333333333334,30.33,,
2012-11-27 00:00:00,Control,Control +2,3,7.95,9.2,30.33,,
2012-11-27 00:00:00,pH 7.8,Control,4,7.78,7.666666666666667,30.33,2097.8573065201276,
2012-11-27 00:00:00,pH 7.8,Control +2,5,7.760000000000001,9.333333333333334,30.33,2097.8573065201276,
2012-11-27 00:00:00,pH 7.8,Control +4,6,7.760000000000001,11.300000000000002,30.33,2097.8573065201276,
2012-12-04 00:00:00,Control,Control,1,8.006666666666666,6.099999999999999,31.1,2111.8009937289166,
2012-12-04 00:00:00,Control,Control +4,2,7.94,10.566666666666666,31.1,2111.8009937289166,
2012-12-04 00:00:00,Control,Control +2,3,7.96,8.1,31.1,2111.8009937289166,
2012-12-04 00:00:00,pH 7.8,Control,4,7.78,6.400000000000001,31.1,2139.6454887586797,2109.9136954859973
2012-12-04 00:00:00,pH 7.8,Control +2,5,7.75,8.366666666666667,31.1,2139.6454887586797,2109.9136954859973
2012-12-04 00:00:00,pH 7.8,Control +4,6,7.723333333333334,10.4,31.1,2139.6454887586797,2109.9136954859973
2012-12-11 00:00:00,Control,Control,1,7.96,6.400000000000001,31.29,2145.963113497329,2062.763994400929
2012-12-11 00:00:00,Control,Control +4,2,7.91,10.166666666666666,31.29,2145.963113497329,2062.763994400929
2012-12-11 00:00:00,Control,Control +2,3,7.93,8.5,31.29,2145.963113497329,2062.763994400929
2012-12-11 00:00:00,pH 7.8,Control,4,7.78,6.5,31.29,2144.709160708294,2125.0971544013264
2012-12-11 00:00:00,pH 7.8,Control +2,5,7.739999999999999,8.8,31.29,2144.709160708294,2125.0971544013264
2012-12-11 00:00:00,pH 7.8,Control +4,6,7.72,10.6,31.29,2144.709160708294,2125.0971544013264
2012-12-18 00:00:00,Control,Control,1,7.963333333333334,5.8,31.52,2159.517290209339,2072.451041188909
2012-12-18 00:00:00,Control,Control +4,2,7.919999999999999,9.266666666666667,31.52,2159.517290209339,2072.451041188909
2012-12-18 00:00:00,Control,Control +2,3,7.94,7.566666666666666,31.52,2159.517290209339,2072.451041188909
2012-12-18 00:00:00,pH 7.8,Control,4,7.766666666666666,5.833333333333333,31.52,2139.5019063782556,2124.307614537729
2012-12-18 00:00:00,pH 7.8,Control +2,5,7.75,7.366666666666667,31.52,2139.5019063782556,2124.307614537729
2012-12-18 00:00:00,pH 7.8,Control +4,6,7.73,9.433333333333332,31.52,2139.5019063782556,2124.307614537729
2012-12-26 00:00:00,Control,Control,1,7.986666666666667,5.933333333333334,31.46,2153.0369387728765,2068.2907734461087
2012-12-26 00:00:00,Control,Control +4,2,7.936666666666667,9.7,31.46,2153.0369387728765,2068.2907734461087
2012-12-26 00:00:00,Control,Control +2,3,7.97,7.7,31.46,2153.0369387728765,2068.2907734461087
2012-12-26 00:00:00,pH 7.8,Control,4,7.783333333333334,6.099999999999999,31.46,2141.5599204976643,2126.3219534204964
2012-12-26 00:00:00,pH 7.8,Control +2,5,7.75,7.7,31.46,2141.5599204976643,2126.3219534204964
2012-12-26 00:00:00,pH 7.8,Control +4,6,7.746666666666667,9.7,31.46,2141.5599204976643,2126.3219534204964
2013-01-02 00:00:00,Control,Control,1,7.98,6.599999999999999,30.94,2099.9056641509437,2042.2562025592913
2013-01-02 00:00:00,Control,Control +4,2,7.93,10.433333333333332,30.94,2099.9056641509437,2042.2562025592913
2013-01-02 00:00:00,Control,Control +2,3,7.96,8.6,30.94,2099.9056641509437,2042.2562025592913
2013-01-02 00:00:00,pH 7.8,Control,4,7.783333333333334,6.566666666666666,30.94,2115.515082504288,2102.2511098867276
2013-01-02 00:00:00,pH 7.8,Control +2,5,7.75,8.7,30.94,2115.515082504288,2102.2511098867276
2013-01-02 00:00:00,pH 7.8,Control +4,6,7.739999999999999,10.6,30.94,2115.515082504288,2102.2511098867276
2013-01-08 00:00:00,Control,Control,1,8,6.400000000000001,31.7,2115.944436921098,2046.295002630769
2013-01-08 00:00:00,Control,Control +4,2,7.94,10.4,31.7,2115.944436921098,2046.295002630769
2013-01-08 00:00:00,Control,Control +2,3,7.966666666666666,8.4,31.7,2115.944436921098,2046.295002630769
2013-01-08 00:00:00,pH 7.8,Control,4,7.8,6.599999999999999,31.7,2111.460068567753,2104.1844703219467
2013-01-08 00:00:00,pH 7.8,Control +2,5,7.763333333333333,8.5,31.7,2111.460068567753,2104.1844703219467
2013-01-08 00:00:00,pH 7.8,Control +4,6,7.756666666666667,10.433333333333334,31.7,2111.460068567753,2104.1844703219467
2013-01-15 00:00:00,Control,Control,1,8.01,6.633333333333333,30.93,2138.59,2055.08
2013-01-15 00:00:00,Control,Control +4,2,7.953333333333333,10.5,30.93,2138.59,2055.08
2013-01-15 00:00:00,Control,Control +2,3,7.983333333333334,8.5,30.93,2138.59,2055.08
2013-01-15 00:00:00,pH 7.8,Control,4,7.81,6.7,30.93,2134.87,2117.5
2013-01-15 00:00:00,pH 7.8,Control +2,5,7.77,8.5,30.93,2134.87,2117.5
2013-01-15 00:00:00,pH 7.8,Control +4,6,7.766666666666666,10.5,30.93,2134.87,2117.5
2013-01-22 00:00:00,Control,Control,1,7.98,6.7,31.23,2133.375,2048.61
2013-01-22 00:00:00,Control,Control +4,2,7.93,10.2,31.23,2133.375,2048.61
2013-01-22 00:00:00,Control,Control +2,3,7.96,8.2,31.23,2133.375,2048.61
2013-01-22 00:00:00,pH 7.8,Control,4,7.796666666666667,6.733333333333333,31.23,2133.61,2098.917
2013-01-22 00:00:00,pH 7.8,Control +2,5,7.763333333333333,8.2,31.23,2133.61,2098.917
2013-01-22 00:00:00,pH 7.8,Control +4,6,7.75,10.2,31.23,2133.61,2098.917
2013-01-29 00:00:00,Control,Control,1,7.973333333333333,6.366666666666667,31.18,2133.638,2059.659
2013-01-29 00:00:00,Control,Control +4,2,7.919999999999999,9.9,31.18,2133.638,2059.659
2013-01-29 00:00:00,Control,Control +2,3,7.943333333333334,8,31.18,2133.638,2059.659
2013-01-29 00:00:00,pH 7.8,Control,4,7.78,6.400000000000001,31.18,2135.359,2079.313
2013-01-29 00:00:00,pH 7.8,Control +2,5,7.75,8,31.18,2135.359,2079.313
2013-01-29 00:00:00,pH 7.8,Control +4,6,7.73,10,31.18,2135.359,2079.313
